Washington,37588.644544178074,-1142.8204020243697,8.683592755283494
Illinois,125160.68488398322,-3400.6775213670253,23.05695970695691
California,73915.8080479204,-2231.9861354267523,16.693014370644754
Arizona,33123.803921571285,-880.0857843137807,5.840686274510085
Massachusetts,161658.66515259573,-4340.03833333266,29.05772283271904
Wisconsin,24137.970027335334,-660.2633059921322,4.516803372065906
Texas,38588.64563176616,-1131.4225486211787,8.215751023026879
Nebraska,771.8138346486136,-24.452425380481966,0.19392210418497835
Utah,18269.511028563655,-490.8155130911311,3.2998900413094474
Oregon,13415.55557669156,-360.7861065708501,2.4285268507241455
Florida,188454.11180122383,-4992.126199886707,33.030208921511594
Georgia,108965.13239623397,-2848.0655591554923,18.612975125565427
New Hampshire,12774.082559334407,-328.5268317852281,2.116099071206758
North Carolina,35719.80392880221,-943.5325061668098,6.230957829357344
New Jersey,446881.18144270935,-11844.591877470853,78.34634387352061
New York,488130.5319541955,-13766.610180956057,96.70107162721132
Colorado,59257.70355730717,-1598.247430829926,10.782213438734555
Maryland,59636.06643289456,-1550.0375434637824,10.069080804781297
Nevada,26419.77159796448,-699.2833145115274,4.630575945793162
Tennessee,55473.99000268811,-1452.3744895840018,9.511753692534084
Hawaii,5816.326225490072,-152.18308823529216,0.9987745098039158
Indiana,107033.15686275638,-2704.0206398350824,17.077399380805755
Kentucky,18166.578431374062,-460.8005675954947,2.9249226006194022
Minnesota,8445.024128501502,-231.7858965595399,1.5918204602412502
Oklahoma,26256.470588236978,-662.809468524303,4.185629514964249
Pennsylvania,167608.11349518705,-4393.959175606674,28.750028232634943
South Carolina,33899.42045826741,-885.132678534492,5.777868584506246
District of Columbia,10913.324092842835,-293.85444738334377,1.9821540016052683
Kansas,13269.26470588372,-340.8962848297461,2.1919504643963865
Missouri,58788.54996767496,-1478.3039431156071,9.299773755655536
Vermont,7235.205882353498,-190.91718266254944,1.2592879256966434
Virginia,45517.76651184922,-1161.0840428272454,7.411700206396097
Connecticut,99558.4965794143,-2593.0659692716295,16.87886712829949
Iowa,9577.839829057855,-253.45969899660935,1.674228911185166
Louisiana,174682.6725843798,-4617.726731529541,30.472119185163972
Ohio,60680.24647091606,-1600.2104743081932,10.543619424053546
Michigan,273082.2868078662,-7090.853542946772,46.030530872627125
South Dakota,5630.694555449144,-136.0926573427625,0.8249250749256765
Arkansas,3586.1813725493494,-114.16537667699266,0.8787409700722653
Delaware,8185.780959749525,-216.45014189879942,1.4331140350873388
Mississippi,23118.59230770254,-609.7236263738664,4.013736263737668
New Mexico,10146.751260503874,-261.8525283797713,1.6916556096122926
North Dakota,4504.102065826244,-113.03728991596505,0.7109593837534977
Wyoming,1589.7412587404597,-45.477855477837664,0.3193473193472202
Alaska,-5561.187562441653,118.11713286722531,-0.6116383616388829
Maine,6863.798850066421,-180.31960784313617,1.18819106590002
Alabama,24761.994805189788,-653.3357712461728,4.311118705854778
Idaho,38395.06172969036,-951.244432773096,5.893732492997253
Montana,5578.717032970171,-144.47377622384613,0.9343156843160727
West Virginia,11398.773426569749,-273.0829836829099,1.6386946386942758
Rhode Island,15890.96363636306,-426.43409090908466,2.8219696969697
